Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
157,1,1,3,611,15,0.931640625,1.94384765625,0.37841796875,49.62158203125,12.8173828125,-208.0078125,-364.2437474903918,-211.58212872139046,-384.13430910479815,1745594749.6535788
158,1,1,3,626,15,0.24072265625,1.26171875,0.2958984375,49.4384765625,36.0107421875,-196.4111328125,-362.74687374519584,-181.6446538174726,-385.6387555670861,1745594749.6612015
159,1,1,3,641,15,-0.25537109375,1.2451171875,0.083984375,24.90234375,60.85205078125,-188.04931640625,-341.7906413124534,-189.12902254345207,-382.62986264251015,1745594749.6690536
160,1,1,3,656,15,-0.4931640625,1.42724609375,-0.50244140625,-9.70458984375,-2.197265625,-176.6357421875,-361.24999999999994,-198.11026501462743,-373.6031838687825,1745594749.7700703
161,1,1,3,671,15,-0.16357421875,0.90869140625,-0.4296875,-27.587890625,-35.888671875,-130.2490234375,-359.7531262548041,-174.16028509149314,-385.6387555670861,1745594749.7972457
162,1,1,3,686,15,1.80029296875,0.50537109375,-0.0986328125,6.9580078125,-10.92529296875,-25.146484375,-374.72186370676303,-162.18529512992598,-387.14320202937404,1745594749.8051713
163,1,1,3,701,15,1.447265625,-0.10791015625,0.001953125,-24.35302734375,-21.97265625,26.30615234375,-382.20623243274247,-154.70092640394654,-384.13430910479815,1745594749.811646
164,1,1,3,716,15,1.67236328125,0.0244140625,0.3642578125,-38.87939453125,-21.17919921875,92.7734375,-368.7343687259795,-162.18529512992598,-387.14320202937404,1745594749.8181064
165,1,1,3,731,15,1.23046875,-0.3857421875,0.451171875,-46.93603515625,-9.46044921875,147.94921875,-377.71561119715483,-181.6446538174726,-367.58539801963076,1745594749.8368707
166,1,1,3,746,15,0.974609375,-0.138671875,0.310546875,-47.119140625,4.2724609375,192.0166015625,-364.2437474903918,-190.62589628864794,-373.6031838687825,1745594749.8444662
167,1,1,3,761,15,1.08447265625,0.1181640625,0.2666015625,-49.9267578125,19.22607421875,244.873046875,-356.7593787644123,-180.1477800722767,-373.6031838687825,1745594749.850959
168,1,1,3,776,15,0.81787109375,0.431640625,0.15771484375,-42.05322265625,76.11083984375,290.95458984375,-364.2437474903918,-198.11026501462743,-366.08095155734276,1745594749.857603
169,1,1,3,791,15,0.2998046875,0.7587890625,-0.02392578125,-45.0439453125,122.61962890625,320.6787109375,-350.77188378362877,-219.06649744736993,-352.54093339675126,1745594749.8648894
170,1,1,3,806,15,0.13720703125,0.98388671875,-0.162109375,-53.77197265625,124.32861328125,347.96142578125,-332.809398841278,-240.02272988011242,-352.54093339675126,1745594749.8727584
171,1,1,3,821,15,-0.150390625,1.40869140625,-0.29736328125,-52.978515625,114.3798828125,365.41748046875,-314.8469138989273,-283.43206849079326,-328.46979000014414,1745594749.8832295
172,1,1,3,836,15,-0.3984375,2.0478515625,-0.27783203125,-28.076171875,105.46875,378.23486328125,-316.3437876441232,-317.86016463029887,-313.42532537726464,1745594749.8937204
173,1,1,3,851,15,-1.1689453125,4.736328125,-0.65478515625,0.0,120.78857421875,403.86962890625,-265.4500803074629,-340.3132708082373,-301.38975367896103,1745594749.9014118
174,1,1,3,866,15,-3.3896484375,2.908203125,-0.091796875,-89.84375,49.25537109375,265.44189453125,-256.4688378362875,-364.2632507313715,-292.36307490523336,1745594749.9599044
175,1,1,3,881,15,-5.15869140625,3.1181640625,-2.8525390625,104.67529296875,113.525390625,19.53125,-190.6063930476682,-380.7288619285263,-290.8586284429455,1745594749.9670951
176,1,1,3,896,15,-4.6083984375,2.96728515625,1.642578125,2.0751953125,-77.08740234375,-107.2998046875,-181.62515057649284,-385.219483164114,-278.8230567446419,1745594749.9749157
177,1,1,3,911,15,3.8173828125,0.302734375,-0.30517578125,76.2939453125,-141.54052734375,-103.08837890625,-201.08450926403944,-380.7288619285263,-283.3363961315057,1745594749.9814281
178,1,1,3,926,15,-1.07373046875,0.8134765625,0.31591796875,-11.3525390625,-104.91943359375,-11.41357421875,-195.0970142832559,-362.7663769861756,-301.38975367896103,1745594749.988844
179,1,1,3,941,15,0.6396484375,1.376953125,0.97314453125,-54.6875,-87.0361328125,-102.96630859375,-201.08450926403944,-355.28200826019616,-314.9297718395526,1745594750.0009189
180,1,1,3,956,15,0.02783203125,0.8349609375,0.45654296875,21.05712890625,-17.51708984375,-61.46240234375,-211.5626254804107,-362.7663769861756,-311.9208789149767,1745594750.0191782
181,1,1,3,971,15,-0.06884765625,1.06103515625,-0.041015625,20.751953125,-23.13232421875,-62.19482421875,-207.07200424482303,-353.78513451500027,-316.43421830184053,1745594750.027553
182,1,1,3,986,15,0.306640625,0.921875,-0.06298828125,23.98681640625,-20.08056640625,-46.38671875,-189.10951930247234,-353.78513451500027,-305.9030930658249,1745594750.034006
183,1,1,4,1,15,0.119140625,0.98388671875,-0.12060546875,16.05224609375,3.5400390625,-48.40087890625,-219.0469942063902,-340.3132708082373,-301.38975367896103,1745594750.0405262
184,1,1,4,16,15,-0.06201171875,0.9970703125,-0.02734375,12.87841796875,-3.96728515625,-33.50830078125,-214.5563729708025,-353.78513451500027,-316.43421830184053,1745594750.0475888
185,1,1,4,31,15,0.04345703125,1.05517578125,0.02099609375,13.7939453125,-7.14111328125,-20.263671875,-231.02198416795733,-343.30701829862903,-302.89420014124903,1745594750.0540342
186,1,1,4,46,15,0.07958984375,1.0390625,-0.0048828125,15.2587890625,-4.2724609375,-13.427734375,-199.58763551884357,-343.30701829862903,-308.9119859904008,1745594750.0605085
187,1,1,4,61,15,0.1533203125,1.00732421875,-0.07763671875,13.36669921875,-5.67626953125,-9.33837890625,-231.02198416795733,-338.81639706304134,-295.3719678298093,1745594750.0747533
188,1,1,4,76,15,0.13720703125,1.03076171875,0.0322265625,11.77978515625,-9.1552734375,-9.033203125,-216.05324671599837,-347.7976395342167,-307.40753952811286,1745594750.081309
189,1,1,4,91,15,0.24853515625,1.02392578125,0.05029296875,12.02392578125,-13.36669921875,-13.73291015625,-225.03448918717373,-356.77888200539206,-313.42532537726464,1745594750.0936768
190,1,1,4,106,15,0.26220703125,1.05322265625,-0.04345703125,15.19775390625,-12.02392578125,-20.99609375,-216.05324671599837,-326.8414071014742,-307.40753952811286,1745594750.100204
191,1,1,4,121,15,0.1650390625,1.00244140625,0.01904296875,15.68603515625,-9.46044921875,-23.4375,-216.05324671599837,-334.32577582745364,-304.398646603537,1745594750.1067147
192,1,1,4,136,15,0.109375,0.99951171875,-0.1142578125,12.20703125,-13.61083984375,-22.03369140625,-226.53136293236963,-334.32577582745364,-320.94755768870436,1745594750.1137047
193,1,1,4,151,15,0.06591796875,0.9990234375,-0.05126953125,8.36181640625,-13.18359375,-20.3857421875,-216.05324671599837,-340.3132708082373,-328.46979000014414,1745594750.1272376
194,1,1,4,166,15,0.04443359375,0.9833984375,-0.0322265625,5.615234375,-8.6669921875,-17.63916015625,-229.5251104227614,-334.32577582745364,-328.46979000014414,1745594750.1337636
